WKT,nama,deskripsi
"POLYGON ((106.7983237 -6.2146795, 106.7983452 -6.2204816, 106.8026582 -6.2224014, 106.8047825 -6.2246412, 106.8087092 -6.2220388, 106.8083444 -6.2212496, 106.8082586 -6.2158527, 106.8064133 -6.2157674, 106.8061987 -6.2155541, 106.806263 -6.2142955, 106.8061558 -6.2128023, 106.7983237 -6.2146795))",Gelora Bung Karno
,Ini namanya gelora bung karno

